epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.014,0.95511,1.81797,1.14482,0.72517,0.57941,0.6396,0.47951,0.91896,0.9636,1.09755,3.96385e-05,3.96385e-05,3.96385e-05
2,511.898,1.00433,1.13934,1.19075,0.66631,0.52639,0.57097,0.41432,1.01899,1.07865,1.17159,7.61647e-05,7.61647e-05,7.61647e-05
3,750.152,1.04543,1.21073,1.22261,0.64079,0.50579,0.5464,0.3908,1.03237,1.16786,1.18993,0.000109549,0.000109549,0.000109549
4,985.849,1.04862,1.21498,1.23084,0.66437,0.51127,0.55688,0.39993,1.03513,1.12622,1.20279,0.000104863,0.000104863,0.000104863
5,1221.05,1.03785,1.1788,1.22156,0.6509,0.52979,0.57404,0.41443,1.02228,1.08784,1.18042,0.00010015,0.00010015,0.00010015
6,1456.55,1.02099,1.13957,1.21456,0.68204,0.53065,0.58339,0.42388,1.01151,1.06665,1.17721,9.5438e-05,9.5438e-05,9.5438e-05
7,1691.77,1.00972,1.10788,1.20667,0.67032,0.55051,0.59687,0.43267,0.99934,1.04647,1.17465,9.07256e-05,9.07256e-05,9.07256e-05
8,1927.64,0.99837,1.07653,1.19872,0.671,0.55565,0.60066,0.4392,0.99272,1.02493,1.1731,8.60132e-05,8.60132e-05,8.60132e-05
9,2162.5,0.98784,1.04729,1.1925,0.6831,0.555,0.60904,0.44966,0.98698,1.01318,1.15824,8.13008e-05,8.13008e-05,8.13008e-05
10,2398.08,0.97117,1.01442,1.18002,0.68234,0.56447,0.61464,0.45496,0.96711,0.98917,1.1531,7.65884e-05,7.65884e-05,7.65884e-05
11,2633.84,0.96165,0.99253,1.1729,0.67814,0.56872,0.62418,0.46031,0.97423,0.96983,1.15197,7.1876e-05,7.1876e-05,7.1876e-05
12,2868.76,0.95075,0.96594,1.16435,0.70034,0.56835,0.62779,0.46505,0.96782,0.96504,1.15354,6.71636e-05,6.71636e-05,6.71636e-05
13,3104.02,0.94107,0.94338,1.15915,0.69613,0.56636,0.62655,0.4646,0.96163,0.95328,1.13955,6.24512e-05,6.24512e-05,6.24512e-05
14,3339.47,0.93453,0.9195,1.14687,0.68389,0.58156,0.63373,0.47329,0.95535,0.94652,1.13445,5.77388e-05,5.77388e-05,5.77388e-05
15,3574.95,0.9184,0.8957,1.14071,0.68826,0.59181,0.64506,0.48114,0.95139,0.93718,1.14089,5.30264e-05,5.30264e-05,5.30264e-05
16,3809.67,0.89273,0.80589,1.1112,0.68038,0.57882,0.63369,0.47236,0.95368,0.94613,1.13629,4.8314e-05,4.8314e-05,4.8314e-05
17,4042.92,0.87985,0.77496,1.10293,0.68162,0.5927,0.64445,0.47944,0.95271,0.92963,1.13984,4.36016e-05,4.36016e-05,4.36016e-05
18,4276.34,0.86815,0.74757,1.09264,0.69247,0.5943,0.64743,0.48542,0.94749,0.924,1.1366,3.88892e-05,3.88892e-05,3.88892e-05
19,4510.17,0.85851,0.72455,1.08537,0.67757,0.60895,0.6503,0.48609,0.95067,0.92015,1.13875,3.41768e-05,3.41768e-05,3.41768e-05
20,4744.16,0.84484,0.696,1.07376,0.69782,0.60444,0.65481,0.48855,0.94587,0.91087,1.13948,2.94644e-05,2.94644e-05,2.94644e-05
21,4977.67,0.83413,0.67425,1.06948,0.70732,0.61079,0.66095,0.49431,0.94406,0.90761,1.137,2.4752e-05,2.4752e-05,2.4752e-05
22,5210.8,0.82315,0.65101,1.05998,0.7197,0.59877,0.6577,0.49258,0.94334,0.91095,1.13001,2.00396e-05,2.00396e-05,2.00396e-05
23,5444.39,0.81175,0.6322,1.05059,0.72559,0.59599,0.65735,0.4935,0.94406,0.90707,1.13067,1.53272e-05,1.53272e-05,1.53272e-05
24,5677.96,0.80251,0.61118,1.0443,0.70937,0.60141,0.66123,0.4958,0.9436,0.91111,1.12985,1.06148e-05,1.06148e-05,1.06148e-05
25,5911.61,0.79683,0.59864,1.03865,0.70854,0.60415,0.66185,0.49626,0.94532,0.9105,1.13024,5.9024e-06,5.9024e-06,5.9024e-06
